train_seed,id,world,seed,repeat,checkpoint_steps,planner,steps,max_steps,travel_m,start_dist_m,dist_to_goal_m,min_dist_to_goal_m,min_dist_step,net_disp_m,cells_visited,min_clear_m,stopped_steps,collisions,hit_unknown,reached_goal,r_progress,r_coverage,r_time,r_stop,r_clear,r_seen,r_revisit,r_terminal,goal_tol_m,robot_r,goal_x,goal_y
9,7,maze,104,1,149994,policy,3000,3000,174.6312713623047,39.78676986694336,2.2858145236968994,0.18309181928634644,1781,40.36417770385742,125,0.8016985058784485,0,0,0,0,202.9022216796875,47.12626266479492,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
9,8,maze,105,0,149994,policy,3000,3000,181.89573669433594,50.997222900390625,28.004751205444336,27.98249053955078,2577,26.517671585083008,135,0.7710933089256287,0,0,0,0,103.99641418457031,39.708045959472656,-2.999964952468872,0.0,-0.3185686469078064,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
9,9,maze,105,1,149994,policy,1830,3000,122.6693344116211,50.997222900390625,33.892822265625,27.97099494934082,1198,25.367809295654297,122,0.5668495297431946,0,1,1,0,99.48695373535156,35.88432693481445,-1.8300294876098633,0.0,-0.9520922303199768,0.0,0.0,-300.0,3.0,0.6,36.20426559448242,41.73569107055664
9,10,maze,106,0,149994,policy,3000,3000,144.64036560058594,20.522558212280273,4.209716320037842,0.30268290638923645,701,17.422006607055664,53,0.8131270408630371,0,0,0,0,169.7840118408203,38.737876892089844,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
9,11,maze,106,1,149994,policy,3000,3000,145.72860717773438,20.522558212280273,4.234217643737793,0.5328155755996704,770,17.417428970336914,55,0.8473723530769348,0,0,0,0,169.739013671875,40.199684143066406,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
10,0,maze,101,0,149994,policy,3000,3000,141.45120239257812,44.0926628112793,46.98881912231445,34.40070724487305,390,3.136784553527832,37,0.6531310677528381,0,0,0,0,14.228096008300781,12.587132453918457,-2.999964952468872,0.0,-3.482025384902954,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
10,1,maze,101,1,149994,policy,3000,3000,152.72015380859375,44.0926628112793,46.98250961303711,29.81206703186035,643,3.1219751834869385,48,0.6280795931816101,0,0,0,0,14.160954475402832,16.329252243041992,-2.999964952468872,0.0,-7.625080585479736,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
10,2,maze,102,0,149994,policy,3000,3000,129.1497039794922,26.98373794555664,23.922767639160156,23.806528091430664,310,4.1812520027160645,6,0.6176832318305969,0,0,0,0,30.99091911315918,3.3353421688079834,-2.999964952468872,0.0,-129.82916259765625,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
10,3,maze,102,1,149994,policy,3000,3000,98.49625396728516,26.98373794555664,28.01919937133789,21.882213592529297,194,1.0369662046432495,17,0.6591131687164307,695,0,0,0,7.6858625411987305,9.4501371383667,-2.999964952468872,-69.49951171875,-1.6842972040176392,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
10,4,maze,103,0,149994,policy,454,3000,23.867538452148438,36.81302261352539,31.234399795532227,31.225116729736328,402,9.687440872192383,14,0.5840925574302673,0,1,1,0,52.63046646118164,5.704503059387207,-0.4539977014064789,0.0,-7.618898391723633,0.0,0.0,-300.0,3.0,0.6,28.44996452331543,28.44996452331543
10,5,maze,103,1,149994,policy,3000,3000,151.29307556152344,36.81302261352539,18.45435905456543,17.20037841796875,1963,24.036693572998047,75,0.6359298825263977,0,0,0,0,130.58802795410156,30.559864044189453,-2.999964952468872,0.0,-3.6163408756256104,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
10,6,maze,104,0,149994,policy,904,3000,43.319698333740234,39.78676986694336,31.194704055786133,31.047897338867188,886,11.224309921264648,16,0.59012770652771,0,1,1,0,56.42234420776367,6.0321574211120605,-0.9039919376373291,0.0,-19.297012329101562,0.0,0.0,-300.0,3.0,0.6,22.45723533630371,37.262062072753906
10,7,maze,104,1,149994,policy,762,3000,42.65729522705078,39.78676986694336,34.5299072265625,28.533390045166016,319,5.4680047035217285,35,0.5863080024719238,0,1,1,0,27.48657989501953,13.195338249206543,-0.7619937658309937,0.0,-8.968916893005371,0.0,0.0,-300.0,3.0,0.6,22.45723533630371,37.262062072753906
10,8,maze,105,0,149994,policy,488,3000,24.360761642456055,50.997222900390625,46.99421310424805,46.82073974609375,97,7.0286335945129395,10,0.5830164551734924,0,1,1,0,27.564756393432617,2.9413368701934814,-0.48799726366996765,0.0,-6.381776332855225,0.0,0.0,-300.0,3.0,0.6,36.20426559448242,41.73569107055664
10,9,maze,105,1,149994,policy,546,3000,32.52245330810547,50.997222900390625,35.17485427856445,35.17485427856445,546,19.450340270996094,32,0.5886669754981995,0,1,1,0,76.27997589111328,9.412280082702637,-0.5459965467453003,0.0,-2.970777988433838,0.0,0.0,-300.0,3.0,0.6,36.20426559448242,41.73569107055664
10,10,maze,106,0,149994,policy,1010,3000,51.515350341796875,20.522558212280273,14.880731582641602,10.300537109375,404,14.08578872680664,27,0.5874374508857727,0,1,1,0,137.27125549316406,19.73438262939453,-1.00999116897583,0.0,-40.42437744140625,0.0,0.0,-300.0,3.0,0.6,16.57559585571289,16.57559585571289
10,11,maze,106,1,149994,policy,3000,3000,137.82472229003906,20.522558212280273,22.124774932861328,15.146242141723633,467,1.8335752487182617,21,0.6483915448188782,0,0,0,0,17.86882972717285,15.348960876464844,-2.999964952468872,0.0,-7.58309268951416,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
